repo_name,cbo_mean,dit_mean,lcom_mean,cbo_total,dit_total,lcom_total
GrowingGit/GitHub-Chinese-Top-Charts,0.000000,1.000000,0.000000,0,1,0
doocs/advanced-java,0.000000,1.000000,0.000000,0,1,0
macrozheng/mall,3.934211,1.239474,1110.803947,2990,942,844211
krahets/hello-algo,1.874419,1.000000,4.706977,403,215,1012
Stirling-Tools/Stirling-PDF,8.179487,1.232479,16.499145,4785,721,9652
iluwatar/java-design-patterns,3.363252,1.197466,1.840549,6370,2268,3486
kdn251/interviews,1.194553,1.003891,0.291829,307,258,75
MisterBooo/LeetCodeAnimation,1.000000,1.000000,0.000000,4,4,0
TheAlgorithms/Java,2.063207,1.043912,7.962076,3101,1569,11967
skylot/jadx,4.457856,1.667014,32.217829,12852,4806,92884
ReactiveX/RxJava,2.524564,1.318699,47.462627,29959,15649,563239
termux/termux-app,5.909657,1.429907,61.006231,1897,459,19583
google/guava,4.039801,1.800684,48.067631,25984,11582,309171
PhilJay/MPAndroidChart,8.843137,1.980392,91.032680,2706,606,27856
alibaba/arthas,4.734244,1.356092,36.663866,4507,1291,34904
halo-dev/halo,7.527970,1.260214,6.814582,11977,2005,10842
geekxh/hello-algorithm,1.000000,1.000000,0.000000,3,3,0
airbnb/lottie-android,6.897611,1.286689,33.412969,2021,377,9790
TeamNewPipe/NewPipe,8.295222,1.645051,43.296928,4861,964,25372
xkcoding/spring-boot-demo,5.051867,1.130705,2.321577,2435,545,1119
Blankj/AndroidUtilCode,4.168657,1.364179,144.953731,2793,914,97119
alibaba/easyexcel,6.632143,1.375000,32.025000,3714,770,17934
zxing/zxing,4.983193,1.662185,22.968067,2965,989,13666
netty/netty,4.421784,1.509982,67.036391,34994,11950,530526
SeleniumHQ/selenium,5.857143,1.382022,32.738898,10947,2583,61189
YunaiV/ruoyi-vue-pro,7.896211,1.224120,16.288154,29595,4588,61048
alibaba/nacos,5.710402,1.288601,23.144924,22893,5166,92788
ityouknow/spring-boot-examples,4.726384,1.026059,5.032573,1451,315,1545
chinabugotech/hutool,3.526554,1.282863,102.243691,9363,3406,271457
apolloconfig/apollo,7.267300,1.264586,14.985075,5356,932,11044
doocs/leetcode,2.567073,1.006098,0.335366,421,165,55
xuxueli/xxl-job,4.777778,1.128655,20.426901,817,193,3493
alibaba/canal,5.814109,1.380362,77.356530,6099,1448,81147
conductor-oss/conductor,7.787336,1.271207,91.492234,6518,1064,76579
lenve/vhr,4.436170,1.021277,48.329787,417,96,4543
wuyouzhuguli/SpringAll,5.243386,1.111111,3.748677,1982,420,1417
crossoverJie/JCSprout,1.962963,1.092593,1.765432,318,177,286
ashishps1/awesome-system-design-resources,0.818182,1.000000,0.000000,9,11,0
qiurunze123/miaosha,4.146853,1.125874,14.300699,1186,322,4090
JakeWharton/butterknife,3.959559,1.235294,10.481618,1077,336,2851
scwang90/SmartRefreshLayout,6.651026,1.507331,30.319648,2268,514,10339
apache/kafka,7.787890,1.435670,63.100921,65979,12163,534591
proxyee-down-org/proxyee-down,5.516667,1.466667,19.516667,331,88,1171
alibaba/druid,5.089570,1.942456,230.560370,29718,11342,1346242
greenrobot/EventBus,3.426230,1.836066,9.054645,627,336,1657
Netflix/Hystrix,3.340648,1.570075,20.253865,6698,3148,40609
yuliskov/SmartTube,6.652648,1.553894,65.957944,21355,4988,211725
google/gson,3.024164,1.281599,20.598513,3254,1379,22164
doocs/source-code-hunter,0.000000,1.000000,0.000000,0,1,0
jenkinsci/jenkins,6.240321,1.896762,46.242026,25629,7790,189916
bazelbuild/bazel,7.513859,1.620502,68.013436,79970,17247,723867
redisson/redisson,5.957238,1.342447,180.413249,16996,3830,514719
elunez/eladmin,8.014184,1.163121,6.202128,2260,328,1749
apache/rocketmq,6.880028,1.331584,121.818818,19670,3807,348280
LSPosed/LSPosed,5.522248,1.646370,48.114754,2358,703,20545
dataease/dataease,4.947225,1.207461,27.770701,5437,1327,30520
google/ExoPlayer,7.587931,1.295032,52.220055,24896,4249,171334
CarGuo/GSYVideoPlayer,5.485849,1.575472,55.355346,3489,1002,35206
brettwooldridge/HikariCP,4.383784,1.286486,172.670270,811,238,31944
kunal-kushwaha/DSA-Bootcamp-Java,1.268775,1.083004,3.501976,321,274,886
kestra-io/kestra,8.211679,1.452033,14.960897,15750,2785,28695
DrKLO/Telegram,6.843766,1.659578,60.838130,91070,22084,809573
didi/DoKit,4.503505,1.320586,71.766730,7066,2072,112602
mybatis/mybatis-3,3.538991,1.239679,20.951835,6172,2162,36540
ReactiveX/RxAndroid,2.272727,1.127273,3.090909,125,62,170
linlinjava/litemall,4.617504,1.126418,1532.884927,2849,695,945790
xiaojieonly/Ehviewer_CN_SXJ,6.876923,1.716484,68.421978,6258,1562,62264
Baseflow/PhotoView,4.733333,1.355556,24.600000,213,61,1107
dianping/cat,5.378436,1.434461,23.035941,10176,2714,43584
antlr/antlr4,5.773414,1.835347,48.302115,3822,1215,31976
Tencent/APIJSON,5.885714,1.242857,1165.571429,412,87,81590
LMAX-Exchange/disruptor,4.480488,1.290244,25.882927,1837,529,10612
dromara/Sa-Token,4.512032,1.223262,61.145722,3375,915,45737
forezp/SpringCloudLearning,4.552448,1.048951,0.545455,651,150,78
williamfiset/Algorithms,2.611231,1.053996,16.196544,1209,488,7499
Tencent/tinker,4.794231,1.603846,28.471154,2493,834,14805
ashishps1/awesome-low-level-design,2.628788,1.138889,3.051768,2082,902,2417
infinilabs/analysis-ik,4.815789,1.368421,15.421053,183,52,586
openzipkin/zipkin,6.447561,1.554878,19.376829,5287,1275,15889
justauth/JustAuth,5.510101,1.343434,12.984848,1091,266,2571
facebook/fresco,6.647393,1.418009,28.762085,7013,1496,30344
nostra13/Android-Universal-Image-Loader,4.864286,1.585714,28.842857,681,222,4038
winterbe/java8-tutorial,1.034091,1.000000,3.909091,91,88,344
alibaba/DataX,4.495908,1.715221,22.648936,5494,2096,27677
material-components/material-components-android,7.126214,1.537864,91.923301,14680,3168,189362
heibaiying/BigData-Notes,5.714286,1.220779,0.818182,440,94,63
shuzheng/zheng,4.499018,1.408644,340.856582,2290,717,173496
JeffLi1993/springboot-learning-example,4.614035,1.043860,2.850877,526,119,325
gyoogle/tech-interview-for-developer,1.307692,1.000000,0.923077,17,13,12
ben-manes/caffeine,4.912425,1.587575,163.169162,6563,2121,217994
android-hacker/VirtualXposed,3.947006,2.792842,14.695802,5735,4058,21353
dyc87112/SpringBoot-Learning,4.453532,1.026022,1.453532,1198,276,391
android10/Android-CleanArchitecture,5.142857,1.428571,6.723810,540,150,706
Konloch/bytecode-viewer,4.722222,2.053140,13.688406,1955,850,5667
mockito/mockito,3.472381,1.400476,18.329048,7292,2941,38491
java-decompiler/jd-gui,4.538084,2.417690,11.115479,1847,984,4524
hdodenhof/CircleImageView,11.000000,2.333333,178.666667,33,7,536
elastic/logstash,5.402326,1.644186,21.122093,4646,1414,18165
Tencent/QMUI_Android,5.468105,1.629456,35.342402,5829,1737,37675
alibaba/ARouter,3.693878,1.408163,17.448980,362,138,1710
supertokens/supertokens-core,9.738193,1.578029,71.143737,9485,1537,69294
arduino/Arduino,3.853333,1.644444,32.722222,1734,740,14725
apache/pulsar,6.876655,1.706971,85.365577,50901,12635,631876
orhanobut/logger,5.833333,1.166667,14.944444,105,21,269
theonedev/onedev,5.837272,1.410719,26.030207,47924,11582,213708
zaproxy/zaproxy,4.741577,1.910820,69.652002,11963,4821,175732
Netflix/zuul,6.502994,1.612774,24.890220,3258,808,12470
seaswalker/spring-analysis,2.424242,1.242424,1.787879,80,41,59
JessYanCoding/AndroidAutoSize,5.408163,1.408163,31.285714,265,69,1533
sqshq/piggymetrics,6.040404,1.060606,3.828283,598,105,379
Curzibn/Luban,2.965517,1.172414,10.862069,86,34,315
lgvalle/Material-Animations,4.400000,1.466667,4.755556,198,66,214
DuGuQiuBai/Java,0.772213,1.177706,1.079160,478,729,668
cryptomator/cryptomator,8.316027,1.428894,18.530474,3684,633,8209
janishar/mit-deep-learning-book-pdf,0.000000,1.000000,0.000000,0,1,0
Bigkoo/Android-PickerView,3.725275,1.153846,15.494505,339,105,1410
LuckSiege/PictureSelector,5.156038,1.237449,49.449118,3800,912,36444
tink-crypto/tink,7.666212,1.288737,30.075768,11231,1888,44061
youth5201314/banner,6.082192,1.835616,47.684932,444,134,3481
ashishps1/awesome-leetcode-resources,1.181818,1.000000,4.727273,13,11,52
pxb1988/dex2jar,5.425569,1.570928,21.133100,3098,897,12067
macrozheng/mall-learning,4.971888,1.104418,229.510040,1238,275,57148
facebook/stetho,4.379252,1.423469,7.496599,2575,837,4408
codecentric/spring-boot-admin,7.762931,1.256466,7.213362,3602,583,3347
Netflix/conductor,7.498494,1.254518,78.674699,4979,833,52240
alibaba/COLA,4.329159,1.327370,4.974955,2420,742,2781
greenrobot/greenDAO,5.013736,2.101648,47.453297,1825,765,17273
google/guice,3.803351,1.304124,8.454381,14757,5060,32803
languagetool-org/languagetool,5.377206,1.590944,55.189179,14013,4146,143823
Netflix/eureka,5.884097,1.270889,18.572776,4366,943,13781
zhihu/Matisse,6.657895,1.394737,8.078947,506,106,614
macrozheng/mall-swarm,3.787958,1.231675,1106.229058,2894,941,845159
daimajia/AndroidViewAnimations,3.378049,1.804878,2.292683,277,148,188
daimajia/AndroidSwipeLayout,3.716216,1.324324,58.905405,275,98,4359
amitshekhariitbhu/android-interview-questions,0.000000,1.000000,0.000000,0,1,0
pagehelper/Mybatis-PageHelper,5.812155,1.441989,29.640884,1052,261,5365
apache/zookeeper,5.671420,2.005134,36.861951,9942,3515,64619
Yalantis/uCrop,6.337662,1.363636,28.909091,488,105,2226
redis/jedis,5.538084,1.420147,530.371826,6762,1734,647584
Tencent/VasSonic,4.198198,1.279279,21.612613,466,142,2399
Tencent/matrix,4.506820,1.289304,12.894472,6278,1796,17962
Team-xManager/xManager,2.017176,1.020992,4.767176,1057,535,2498
plantuml/plantuml,7.131860,1.542175,36.500762,28071,6070,143667
metersphere/metersphere,6.672516,1.298056,445.991631,24715,4808,1651953
code4craft/webmagic,4.531977,1.183140,11.465116,1559,407,3944
grpc/grpc-java,5.604114,1.396614,13.481252,30789,7673,74066
xpipe-io/xpipe,6.948683,1.574612,18.833896,10291,2332,27893
debezium/debezium,6.825585,1.583950,55.703583,23050,5349,188111
OpenRefine/OpenRefine,6.696991,1.688395,12.788682,9349,2357,17853
gyf-dev/ImmersionBar,6.352113,2.105634,159.253521,902,299,22614
careercup/CtCI-6th-Edition,2.128079,1.068966,4.482759,1296,651,2730
permissions-dispatcher/PermissionsDispatcher,1.621849,1.226891,34.378151,193,146,4091
jhy/jsoup,6.306373,1.806373,240.083333,2573,737,97954
provectus/kafka-ui,7.243665,1.510721,17.134503,3716,775,8790
H07000223/FlycoTabLayout,6.454545,1.545455,223.090909,213,51,7362
mission-peace/interview,2.013493,1.037481,3.409295,1343,692,2274
newbee-ltd/newbee-mall,5.033708,1.067416,34.910112,448,95,3107
lingochamp/FileDownloader,4.527881,1.687732,42.014870,1218,454,11302
jfeinstein10/SlidingMenu,4.770270,1.824324,47.445946,353,135,3511
beemdevelopment/Aegis,7.416300,1.709251,22.189427,3367,776,10074
PaperMC/Paper,6.896519,1.685714,111.821849,28724,7021,465738
doocs/jvm,0.000000,1.000000,0.000000,0,1,0
ssssssss-team/spider-flow,5.385093,1.732919,20.329193,867,279,3273
square/javapoet,4.505051,1.151515,129.848485,446,114,12855
jwtk/jjwt,5.623423,1.994595,25.834234,3121,1107,14338
apple/pkl,6.293792,4.379840,28.839582,10240,7126,46922
microg/GmsCore,5.734107,1.710337,14.228856,10373,3094,25740
alibaba/vlayout,5.314465,1.855346,72.540881,845,295,11534
daniulive/SmarterStreaming,3.843023,1.052326,71.552326,661,181,12307
TooTallNate/Java-WebSocket,3.555556,1.819923,36.620690,928,475,9558
android-async-http/android-async-http,5.662338,1.785714,45.876623,872,275,7065
asLody/VirtualApp,3.938732,2.588028,15.611268,5593,3675,22168
clojure/clojure,3.603053,1.495093,130.391494,3304,1371,119569
jeasonlzy/okhttp-OkGo,5.595568,1.623269,19.445983,2020,586,7020
lipangit/JiaoZiVideoPlayer,7.275362,2.115942,56.637681,502,146,3908
tbruyelle/RxPermissions,4.650000,1.100000,10.100000,93,22,202
google/auto,4.110623,1.705882,25.597893,4682,1943,29156
LawnchairLauncher/lawnchair,8.658769,1.429538,97.100308,28141,4646,315576
zfile-dev/zfile,7.009662,1.504831,9.454106,2902,623,3914
JessYanCoding/MVPArms,6.644295,1.281879,32.100671,990,191,4783
JakeWharton/ViewPagerIndicator,5.439394,2.242424,29.272727,359,148,1932
wasabeef/glide-transformations,5.555556,2.148148,2.777778,150,58,75
googlesamples/easypermissions,8.939394,1.484848,12.212121,295,49,403
signalapp/Signal-Server,9.127943,1.480377,13.717425,11629,1886,17476
uknownothingsnow/JsBridge,3.500000,1.156250,17.093750,112,37,547
paascloud/paascloud-master,6.103774,1.315364,5.456873,4529,976,4049
hackware1993/MagicIndicator,5.000000,1.339806,26.941748,515,138,2775
HarlonWang/AVLoadingIndicatorView,3.565217,1.782609,6.750000,328,164,621
OpenFeign/feign,5.134723,1.682438,13.266239,6403,2098,16543
YoKeyword/Fragmentation,5.232394,1.707746,15.116197,1486,485,4293
awsdocs/aws-doc-sdk-examples,7.039450,1.040048,6.187089,11777,1740,10351
lihengming/spring-boot-api-project-seed,5.000000,1.266667,9.733333,75,19,146
xuchengsheng/spring-reading,2.813793,1.027586,0.541379,816,298,157
perwendel/spark,4.542986,1.298643,47.117647,1004,287,10413
stanfordnlp/CoreNLP,5.704297,1.459233,148.601858,24557,6282,639731
ksoichiro/Android-ObservableScrollView,5.014925,1.967164,7.570149,1680,659,2536
koral--/android-gif-drawable,6.156250,1.656250,59.734375,394,106,3823
bilibili/DanmakuFlameMaster,5.162791,1.610465,47.505814,888,277,8171
liaohuqiu/android-Ultra-Pull-To-Refresh,4.018634,1.403727,19.142857,647,226,3082
umano/AndroidSlidingUpPanel,4.941176,1.352941,132.000000,84,23,2244
crossoverJie/cim,4.881188,1.282178,5.737624,986,259,1159
pockethub/PocketHub,6.575472,1.481132,9.042453,1394,314,1917
Justson/AgentWeb,5.398438,1.488281,18.792969,1382,381,4811
MyCATApache/Mycat-Server,4.895430,1.294345,78.487994,6320,1671,101328
seven332/EhViewer,7.144759,1.821963,45.262895,4294,1095,27203
huanghaibin-dev/CalendarView,6.568182,2.159091,53.181818,1156,380,9360
GcsSloop/AndroidNote,4.875000,1.375000,8.125000,39,11,65
json-path/JsonPath,4.557065,1.486413,29.290761,1677,547,10779
android/testing-samples,5.500000,1.348837,3.151163,473,116,271
cats-oss/android-gpuimage,2.960784,2.156863,11.300654,453,330,1729
didi/VirtualAPK,4.895706,1.613497,17.576687,798,263,2865
navasmdc/MaterialDesignLibrary,4.536585,1.817073,6.756098,372,149,554
KunMinX/Jetpack-MVVM-Best-Practice,4.840336,1.621849,12.000000,576,193,1428
Freelander/Android_Data,2.000000,1.000000,3.000000,4,2,6
laobie/StatusBarUtil,4.151515,1.545455,22.545455,137,51,744
nathanmarz/storm,4.425382,1.287897,33.070505,3766,1096,28143
apache/jmeter,5.494474,1.998837,62.117510,9445,3436,106780
java-native-access/jna,4.534038,2.366596,44.937844,10723,5597,106278
apache/cassandra,6.823283,1.769620,59.148423,86335,22391,748405
Blankj/awesome-java-leetcode,1.680556,1.000000,1.166667,121,72,84
chrisbanes/Android-PullToRefresh,6.024390,2.134146,55.841463,494,175,4579
ybq/Android-SpinKit,4.816901,3.169014,21.521127,342,225,1528
karatelabs/karate,6.630137,1.205479,115.275685,3872,704,67321
shwenzhang/AndResGuard,3.424242,1.500000,22.378788,226,99,1477
react-native-image-picker/react-native-image-picker,6.181818,1.545455,66.181818,68,17,728
chrisjenx/Calligraphy,5.720000,1.440000,11.360000,143,36,284
amitshekhariitbhu/Android-Debug-Database,4.147541,1.278689,8.803279,253,78,537
airbnb/epoxy,6.878689,1.826230,138.773770,4196,1114,84652
frohoff/ysoserial,5.458333,1.341667,8.891667,655,161,1067
junit-team/junit4,3.868117,1.464310,12.961251,5690,2154,19066
google/tsunami-security-scanner,6.260417,1.541667,14.753472,1803,444,4249
dropwizard/dropwizard,5.956395,1.513081,19.177326,8196,2082,26388
ZCShou/GoGoGo,7.250000,1.458333,12.875000,348,70,618
roughike/BottomBar,4.909091,1.287879,61.666667,324,85,4070
LSPosed/LSPatch,4.342466,1.349315,23.876712,634,197,3486
DImuthuUpe/AndroidPdfViewer,4.947368,1.245614,76.789474,282,71,4377
PojavLauncherTeam/PojavLauncher,6.154229,1.410448,124.731343,2474,567,50142
testcontainers/testcontainers-java,5.347826,1.493868,21.911929,4797,1340,19655
wildfirechat/im-server,6.406713,1.541955,111.720632,6490,1562,113173
cabaletta/baritone,6.697674,1.386892,22.114165,3168,656,10460
florent37/MaterialViewPager,4.545455,1.295455,9.386364,200,57,413
bytedeco/javacv,6.125561,2.130045,133.991031,1366,475,29880
alibaba/otter,4.594907,1.453704,32.454475,5955,1884,42061
alibaba/atlas,5.638560,1.435734,29.884230,12371,3150,65566
guolindev/LitePal,5.009950,1.651741,49.447761,1007,332,9939
aritraroy/UltimateAndroidReference,1.000000,1.000000,0.000000,1,1,0
HMCL-dev/HMCL,6.803228,1.708686,35.827825,8851,2223,46612
dmytrodanylyk/android-process-button,5.250000,1.950000,25.550000,105,39,511
facebookarchive/react-native-fbsdk,7.166667,1.805556,11.333333,258,65,408
termux/termux-api,5.470238,1.392857,3.684524,919,234,619
aeron-io/aeron,7.826352,1.298553,113.626809,10276,1705,149192
pedrovgs/DraggablePanel,5.244444,1.511111,51.844444,236,68,2333
Jzvd/JZVideo,6.311475,1.814208,38.967213,1155,332,7131
janishar/android-mvvm-architecture,5.701754,1.508772,11.026316,650,172,1257
